name,ratings,num_ratings,processor,ram,os,storage,price,org_price,Brand,num_reviews,ram_type,Discount
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,4.3,9965.0,Intel Core i3 Processor (10th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,32990,45990.0,ASUS,1000.0,DDR4,28.26701456838443
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,4.4,11810.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,49990,63539.0,HP,1198.0,DDR4,21.323911298572533
Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,4.1,366.0,Intel Celeron Dual Core Processor,8,64 bit Windows 11 Operating System,256 GB SSD,28490,40490.0,Lenovo,35.0,DDR4,29.63694739441837
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,4.2,1539.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256 GB SSD,35990,47206.0,HP,136.0,DDR4,23.759691564631616
acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) A315-23 Laptop,4.2,247.0,AMD Ryzen 3 Dual Core Processor,8,64 bit Windows 11 Operating System,256 GB SSD,26990,42999.0,acer,53.0,DDR4,37.231098397637155
Lenovo V15 G2 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,4.1,14.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,33599,59760.0,Lenovo,1.0,DDR4,43.77677376171352
Lenovo V15 G2 Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,3.9,10.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,35499,60120.0,Lenovo,1.0,DDR4,40.95309381237525
DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light L...,4.1,32.0,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,1 TB HDD|256 GB SSD,39990,58489.0,DELL,1.0,DDR4,31.62816939937424
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,4.4,1340.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,52990,71990.0,ASUS,166.0,DDR4,26.392554521461314
ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graph...,4.5,2015.0,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,75490,90990.0,ASUS,256.0,DDR4,17.034838993295967
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,4.1,3620.0,Intel Core i5 Processor (11th Gen),8,Windows 11 Operating System,512 GB SSD,39990,59999.0,RedmiBook,429.0,DDR4,33.34888914815247
ASUS Vivobook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) K413EA-EB522WS Thi...,4.4,153.0,Intel Core i5 Processor (11th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,53990,81990.0,ASUS,17.0,DDR4,34.150506159287715
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,4.1,698.0,Intel Celeron Dual Core Processor,4,64 bit Windows 11 Operating System,256 GB SSD,23990,33990.0,ASUS,86.0,DDR4,29.42041776993233
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,4.2,25.0,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,52990,56903.0,HP,5.0,DDR4,6.876614589740436
